CustomerNo,TransactionNo,ProductCount
12394,569997,628
12395,537026,526
12395,539447,222
12395,543733,261
12395,547517,318
12395,551985,71
12395,552884,82
12395,558623,102
12395,563852,33
12395,569496,116
12395,575151,128
12395,575154,115
12395,577551,123
12395,C540152,1
12395,C544419,3
12395,C578432,1
12396,547396,473
12397,547397,111
12397,561507,697
12397,574336,553
12398,572567,1389
12399,547412,363
12399,552543,492
12399,556203,144
12399,563172,174
12401,543537,7
12402,541675,92
12403,572184,94
12405,559928,849
12406,556127,793
12406,577126,1025
12406,C562728,9
12407,547061,214
12407,550440,202
12407,559058,516
12407,561662,294
12407,572133,177
12408,547684,325
12408,547685,26
12408,557147,374
12408,565246,306
12408,574862,360
12408,C549253,5
12408,C549533,3
12408,C558471,1
12409,556415,3142
12409,567642,1
12409,567721,2408
12409,C563224,1
12409,C567641,2
12409,C567643,1
12409,C567677,4
12410,543180,199
12410,543181,8
12410,C543773,2
12411,547411,2
12412,557889,356
12412,561102,240
12412,568223,228
12413,540365,177
12413,550338,25
12413,569402,80
12413,C540853,1
12414,543027,144
12414,550998,112
12414,552202,41
12414,569414,1064
12415,540267,4662
12415,540557,96
12415,543989,8384
12415,545475,10272
12415,553546,8268
12415,554037,396
12415,556917,15049
12415,556918,192
12415,559919,4308
12415,559920,24
12415,560491,97
12415,563614,12196
12415,565145,2692
12415,565146,144
12415,569647,240
12415,569650,6895
12415,574014,216
12415,574138,408
12415,576394,2890
12415,576586,240
12415,C545525,110
12415,C551348,100
12415,C560540,97
12415,C574019,120
12417,539391,58
12417,541991,106
12417,545536,123
12417,551398,264
12417,555574,131
12417,562445,187
12417,564378,341
12417,573656,145
12417,580965,172
12417,C540386,5
12417,C546208,7
12417,C575669,1
12418,563756,407
12420,570000,345
12421,541980,103
12421,557297,143
12421,563518,156
12421,578339,76
12422,541422,893
12422,541520,113
12422,558041,172
12422,565466,82
12423,539676,185
12423,544474,193
12423,547109,137
12423,549249,246
12423,551423,53
12423,554147,159
12423,555161,56
12423,564853,146
12423,581493,202
12423,C565294,12
12424,558536,532
12424,558537,208
12425,567929,496
12426,554985,254
12427,536861,76
12427,570452,112
12427,577135,338
12427,C539866,9
12427,C579090,288
12428,545226,852
12428,545227,1273
12428,547086,60
12428,548363,336
12428,549588,234
12428,556428,82
12428,559004,224
12428,563020,382
12428,574428,3
12428,576082,148
12428,C547234,2
12428,C549184,29
12428,C564108,1
12429,538003,446
12429,551054,196
12429,557427,384
12429,579881,512
12430,573108,116
12431,536389,107
12431,539419,146
12431,542542,110
12431,544193,274
12431,545065,217
12431,552956,184
12431,554126,228
12431,560473,174
12431,561040,214
12431,561228,72
12431,563179,374
12431,569722,238
12431,569723,28
12431,570446,194
12431,574469,348
12431,C555046,6
12431,C555288,8
12431,C561227,36
12432,557472,1090
12432,557474,336
12432,573195,366
12432,573200,8
12432,574432,8
12433,536532,1852
12433,537868,1730
12433,566195,1849
12433,573035,1105
12433,579692,2299
12433,581476,2215
12433,581491,12
12434,547659,77
12434,567085,317
12434,C538723,13
12434,C548729,8
12435,546780,879
12435,567526,1176
12436,565124,209
12437,540972,131
12437,543030,206
12437,544817,264
12437,544818,96
12437,546765,97
12437,551389,146
12437,553577,152
12437,554555,180
12437,556816,356
12437,565321,98
12437,565322,54
12437,567910,172
12437,573036,76
12437,574093,567
12437,574252,92
12437,577344,92
12437,579870,97
12437,581279,18
12437,C542714,5
12438,560991,583
12438,578811,586
12441,537693,120
12442,580955,181
12444,546444,7
12444,557621,582
12444,562844,61
12444,566773,176
12444,570793,77
12444,577314,236
12445,577125,60
12446,571035,351
12447,549559,187
12448,572886,240
12449,555572,384
12449,562034,261
12449,566076,361
12449,577046,517
12450,557303,64
12450,559148,64
12451,541518,2334
12451,543451,86
12451,552013,1771
12451,569653,1650
12451,577157,669
12451,579259,150
12451,C560219,120
12452,578099,181
12453,561627,473
12454,571255,1006
12454,C571499,1006
12455,544097,1522
12455,555470,106
12455,559135,102
12455,562287,32
12455,568554,322
12456,548212,441
12456,561898,621
12456,572896,556
12456,C564134,17
12457,539457,8
12457,550188,194
12457,550281,100
12457,550671,100
12457,566756,376
12457,567188,33
12457,569489,33
12457,C550668,6
12457,C550672,100
12457,C562118,5
12457,C569490,33
12457,C570835,5
12458,545084,268
12458,550458,679
12458,568950,234
12461,559372,282
12462,543541,281
12462,577606,246
12462,C544397,4
12462,C581148,18
12463,549825,187
12463,553415,166
12463,557232,218
12463,571445,197
12463,579463,2
12463,C554531,4
12463,C572479,13
12464,543117,18
12464,545140,13
12464,554159,12
12464,554161,4
12464,559890,12
12464,564481,11
12464,577087,8
12464,579441,17
12465,557885,292
12465,578084,183
12465,C580168,4
12468,540468,947
12468,542371,125
12468,555523,237
12468,C560564,2
12469,544469,50
12471,538174,1075
12471,539395,433
12471,539398,6
12471,541093,95
12471,543056,174
12471,544811,198
12471,546920,288
12471,546921,12
12471,548745,347
12471,548746,40
12471,553037,288
12471,553038,32
12471,559298,292
12471,559300,148
12471,563950,384
12471,564309,70
12471,564360,392
12471,566984,226
12471,567924,138
12471,569640,962
12471,574097,372
12471,576909,511
12471,578333,200
12471,578469,256
12471,579416,228
12471,579419,48
12471,581179,889
12471,C536622,2
12471,C539644,57
12471,C540158,36
12471,C540346,4
12471,C540643,2
12471,C542101,10
12471,C543661,19
12471,C544570,2
12471,C547849,3
12471,C547968,2
12471,C549438,3
12471,C553840,2
12471,C561328,4
12471,C565284,13
12471,C570727,1
12471,C573037,41
12471,C575150,35
12471,C578062,10
12472,537201,966
12472,542215,482
12472,546843,366
12472,556578,784
12472,561037,469
12472,571824,917
12472,574885,136
12472,C536548,40
12472,C543347,41
12472,C548356,21
12472,C559253,11
12472,C575064,14
12472,C575223,1
12473,555162,553
12473,563540,316
12473,571328,1550
12473,C555881,71
12474,541125,10
12474,541224,70
12474,542229,206
12474,544996,122
12474,547005,546
12474,547934,156
12474,553547,526
12474,554263,12
12474,555474,6
12474,557569,270
12474,558109,15
12474,559710,124
12474,561094,408
12474,565261,312
12474,570474,5
12474,570640,252
12474,571312,476
12474,572061,552
12474,576607,536
12474,578043,219
12474,C537333,4
12474,C543431,4
12474,C547581,4
12474,C547582,5
12474,C549019,7
12474,C554266,10
12474,C554336,5
12474,C565085,2
12474,C567519,12
12474,C572488,15
12474,C574061,12
12474,C576974,3
12475,571308,532
12476,538644,2
12476,542648,126
12476,543833,46
12476,550527,617
12476,552008,16
12476,560901,297
12476,566987,181
12476,572559,292
12476,572560,128
12476,576327,70
12476,578472,582
12476,C538642,2
12476,C538643,2
12476,C543830,5
12476,C552043,2
12476,C553924,2
12476,C562281,10
12476,C566986,1
12476,C576183,24
12476,C581409,23
12477,543737,639
12477,550137,728
12477,564856,1151
12477,570002,346
12477,571227,316
12477,576910,473
12477,C542798,2
12477,C564142,3
12477,C566090,28
12478,580752,233
12479,539479,6
12479,579152,382
12479,C580714,6
12479,C580740,28
12480,540480,363
12480,546851,388
12480,560569,331
12480,575896,603
12481,537892,84
12481,539636,228
12481,540414,410
12481,547925,421
12481,547926,268
12481,553731,425
12481,553732,90
12481,556517,412
12481,557481,73
12481,569563,782
12481,576893,152
12481,C549098,14
12483,540040,288
12483,551278,108
12483,552717,2
12483,553674,36
12483,556194,186
12483,565287,162
12483,573333,196
12483,578089,116
12483,C551585,2
12483,C551864,2
12483,C575081,6
12484,540469,626
12484,557007,417
12484,564734,800
12484,574550,327
12484,C545728,5
12484,C569370,1
12485,539485,1
12488,568137,169
12488,573442,90
12488,579529,267
12489,540463,103
12490,541120,543
12490,552325,162
12490,557489,208
12490,561029,234
12490,564912,198
12490,565854,646
12490,574068,288
12490,576222,320
12490,577856,182
12490,580536,252
12491,559491,118
12491,573868,258
12492,564666,68
12492,570189,122
12493,554826,86
12493,558124,118
12493,C555100,1
12494,537967,8
12494,539113,3
12494,544200,114
12494,554940,155
12494,558699,78
12494,573402,208
12494,578348,132
12494,C539104,3
12494,C539114,3
12494,C540151,1
12494,C544609,3
12494,C559049,2
12494,C579532,4
12497,567298,1231
12498,570881,67
12498,577299,80
12498,577301,9
12500,540553,242
12500,544281,302
12500,545557,192
12500,546919,168
12500,557972,71
12500,564475,288
12500,569727,50
12500,571729,576
12500,572134,201
12500,576869,576
12500,C569733,2
12500,C574347,4
12501,540458,1772
12501,C542537,61
12502,543055,167
12502,546755,170
12502,552040,84
12502,562273,146
12502,565519,227
12504,575352,84
12504,577776,3
12504,C577397,3
12504,C577775,36
12505,548505,121
12506,550821,23
12507,543822,216
12507,559187,11
12507,561669,669
12507,C559175,11
12508,575692,203
12508,576064,69
12508,579508,1516
12509,545181,54
12510,541491,291
12510,560607,56
12512,569527,95
12512,569529,4
12513,563753,459
12513,C567091,6
12514,546875,440
12515,539752,128
12515,559515,29
12516,541516,609
12516,556469,342
12516,567959,526
12517,555383,420
12517,559517,11
12517,562537,416
12517,568472,208
12517,575886,317
12517,C575839,23
12518,563914,185
12518,568103,292
12518,570718,322
12518,575787,321
12518,581494,186
12519,570007,180
12520,538520,4
12520,546365,613
12520,547715,126
12520,553741,196
12520,560728,152
12520,567666,336
12520,C546886,9
12521,560635,306
12522,552522,5
12522,571904,128
12522,573629,64
12523,540851,43
12523,544585,77
12523,546770,62
12523,548553,88
12523,561470,147
12523,563897,33
12523,564226,105
12523,567657,63
12523,569921,29
12523,572925,136
12523,577512,77
12523,C573869,1
12523,C581316,3
12524,538524,1302
12524,540562,389
12524,544483,266
12524,545533,341
12524,551529,639
12524,553842,468
12524,558608,166
12524,570082,1292
12524,579786,108
12526,565765,316
12526,571304,222
12526,581574,86
12527,541480,112
12527,544340,108
12527,567291,13
12528,542621,278
12528,545916,75
12528,559899,91
12528,563548,48
12528,570095,100
12528,579747,148
12528,C547806,2
12528,C563751,4
12530,540410,92
12530,550665,230
12530,562605,271
12530,570637,311
12530,C564104,13
12531,578705,45
12532,543532,125
12532,575326,151
12534,561911,645
12535,555637,115
12535,566074,104
12536,549536,3
12536,570672,2801
12536,C580263,129
12537,579537,5
12538,575707,191
12539,540550,643
12539,542303,643
12539,547387,335
12539,552539,233
12539,577039,446
12540,538525,295
12540,540801,469
12540,542905,192
12540,547703,504
12540,551868,739
12540,555095,601
12540,555726,171
12540,559173,214
12540,561093,643
12540,564201,315
12540,566040,241
12540,567340,561
12540,568001,96
12540,569998,225
12540,571665,721
12540,575144,236
12540,577476,397
12540,C541654,6
12540,C567521,2
12541,542541,343
12541,545585,287
12541,557314,130
12541,575514,258
12542,550542,472
12544,553544,90
12544,574301,134
12544,C575531,4
12545,547790,343
12545,568179,174
12546,567968,472
12546,572442,156
12546,579546,228
12546,C569422,16
12547,545647,108
12547,551547,690
12547,554792,24
12547,563547,251
12548,558108,48
12550,567653,564
12550,572550,589
12551,539351,100
12551,547551,68
12552,573508,85
12553,541138,440
12553,544423,15
12553,545583,123
12553,547722,258
12553,553843,126
12553,559422,132
12553,563926,234
12553,570841,218
12553,572553,651
12553,573553,343
12553,576245,219
12553,580120,168
12553,C542088,12
12553,C543834,15
12553,C544422,12
12553,C579562,2
12556,559665,166
12556,572065,192
12556,574556,18
12557,536944,400
12557,540785,1008
12557,547972,550
12557,558871,1506
12557,578321,920
12557,579557,600
12558,580158,196
12558,C581229,196
12559,541877,245
12559,542926,36
12559,C542924,2
12560,560590,812
12560,580511,286
12560,C564913,32
12561,543587,177
12561,574561,941
12562,554648,180
12562,557069,264
12562,562450,320
12562,567191,228
12562,571240,232
12562,576941,210
12562,580126,320
12564,547520,130
12565,544838,80
12565,C545507,5
12566,566739,262
12566,C568580,1
12567,537065,602
12567,537468,164
12567,543188,611
12567,554097,229
12567,555933,216
12567,555936,216
12567,556507,549
12567,564173,399
12567,565443,506
12567,576927,766
12567,C555935,216
12569,548654,108
12569,550004,98
12569,550162,78
12569,551818,142
12569,551886,48
12569,556114,78
12569,558626,46
12569,560544,25
12569,560545,56
12569,562729,34
12569,563373,20
12569,564329,29
12569,565423,38
12569,565777,20
12569,566059,8
12569,569867,244
12569,569907,12
12569,570784,26
12569,572060,48
12569,572894,4
12569,572895,18
12569,574255,39
12569,576390,55
12569,576789,108
12569,576790,5
12569,578295,72
12569,579901,85
12569,580154,8
12569,580531,33
12569,580548,6
12569,581183,134
12569,581184,22
12569,C550611,6
12571,562894,197
12571,573428,326
12572,571724,290
12572,579927,156
12572,C572275,2
12573,551163,84
12574,542425,59
12576,543411,199
12576,551988,116
12576,559834,148
12576,565470,202
12576,574343,302
12576,C561104,3
12577,539050,134
12577,574501,304
12577,574506,33
12577,C574512,6
12578,541115,741
12578,577316,441
12578,C540129,3
12578,C542273,22
12579,567915,282
12579,C568534,6
12580,549193,236
12581,573417,160
12582,544886,140
12582,550192,156
12583,536370,446
12583,540455,488
12583,543625,452
12583,546373,323
12583,554134,304
12583,556463,714
12583,557627,350
12583,559441,198
12583,564471,170
12583,567552,274
12583,569120,173
12583,570851,100
12583,575067,459
12583,577687,268
12583,581001,309
12583,C568244,14
12583,C571127,36
12584,545664,81
12584,555843,31
12584,561259,22
12584,562424,1
12584,567478,48
12584,570919,60
12584,573365,62
12584,577809,63
12584,580746,45
12584,C546501,2
12584,C558439,4
12584,C562423,5
12584,C562425,1
12584,C569949,9
12584,C572761,6
12584,C576216,14
12584,C579785,12
12584,C579864,9
12585,539957,866
12585,550620,401
12585,C540243,20
12585,C550171,1
12586,578078,79
12586,C537232,2
12587,580265,50
12588,573588,52
12589,560363,82
12589,575747,220
12590,552978,4222
12590,C555366,4
12591,542238,225
12592,552649,164
12592,566054,124
12593,551887,98
12593,562039,52
12593,564159,54
12594,541703,143
12594,544399,110
12594,547914,162
12594,550606,208
12594,555107,267
12594,556119,24
12594,562922,521
12594,572457,289
12594,574022,48
12596,549682,154
12596,571851,314
12597,546760,227
12597,556241,437
12597,573362,1474
12597,577523,76
12597,C574894,49
12598,545105,310
12598,551539,368
12598,558687,284
12598,568994,286
12598,575845,336
12598,577502,221
12598,579634,147
12598,C545837,24
12599,543459,214
12599,545051,70
12599,553195,140
12599,558334,108
12599,559685,48
12599,562520,162
12599,575629,206
12600,536967,30
12600,539327,42
12600,543048,102
12600,547085,12
12600,551467,66
12600,553884,31
12600,560230,105
12600,563776,99
12600,567134,68
12600,575750,158
12601,540769,86
12601,543550,50
12601,548412,48
12601,553885,34
12601,555417,22
12601,C555013,1
12602,570724,162
12603,577168,56
12604,547492,136
12604,567640,64
12605,C538123,4
12607,570467,1228
12607,C570867,1228
12609,542128,221
12609,555719,290
12609,567904,128
12610,558610,19
12610,562528,453
12610,564476,167
12610,572695,251
12610,576907,168
12610,580610,947
12610,C562969,13
12610,C576199,8
12611,571670,846
12612,568350,260
12612,C571009,11
12613,547383,482
12613,554699,191
12613,554700,79
12613,571065,878
12613,C575082,48
12614,545718,76
12615,558045,410
12615,568798,335
12615,574104,370
12615,581171,247
12616,544069,96
12616,565612,184
12616,C544679,7
12616,C548564,1
12616,C566960,3
12617,565617,475
12617,575661,213
12618,577178,95
12619,548489,44
12619,550625,466
12619,559987,776
12619,563345,460
12619,566586,212
12619,567958,424
12619,574653,520
12619,578298,458
12619,C568677,2
12619,C568899,1
12619,C575592,20
12620,553838,434
12620,567380,305
12620,578698,439
12621,537621,10
12621,537894,225
12621,539405,322
12621,543900,409
12621,544573,515
12621,547821,480
12621,551258,460
12621,552337,377
12621,552874,643
12621,552875,104
12621,554325,242
12621,557055,457
12621,557056,12
12621,560211,294
12621,564140,359
12621,564972,486
12621,567305,174
12621,567336,230
12621,571658,343
12621,576629,250
12621,581266,987
12621,C539097,7
12621,C557408,12
12621,C566084,17
12622,550960,68
12623,545994,189
12624,542624,105
12624,548624,5
12624,556886,206
12624,564531,145
12625,541965,902
12625,552878,695
12625,C543050,34
12626,541269,404
12626,542375,46
12626,558628,578
12626,560876,516
12626,562370,552
12626,563808,214
12626,569844,849
12626,573106,136
12626,576863,121
12626,C541735,19
12626,C542781,15
12626,C559189,28
12626,C561358,41
12627,538627,12
12627,560997,422
12627,562035,262
12627,564079,322
12627,565442,556
12627,569893,859
12627,579393,306
12628,569721,194
12628,574713,105
12628,580648,146
12628,C577693,3
12630,572964,281
12630,579550,261
12631,571053,232
12633,544933,583
12633,554861,337
12633,562038,136
12633,570754,93
12633,C555600,13
12635,559362,396
12635,566233,766
12635,566635,288
12637,541631,702
12637,547194,85
12637,547196,5
12637,550145,284
12637,559036,321
12637,565865,719
12637,566163,719
12637,569332,156
12637,C542271,9
12638,574690,573
12639,550277,198
12640,537640,2201
12640,567293,241
12640,576373,36
12640,576669,24
12641,563443,71
12642,564216,275
12642,572054,106
12642,576322,165
12643,540789,576
12643,551649,120
12643,551652,192
12643,556305,160
12643,557483,50
12643,562207,690
12644,562045,325
12645,542369,234
12645,551820,238
12645,564039,348
12645,574679,256
12645,C565089,12
12646,564646,360
12646,572215,489
12646,576646,188
12646,580553,408
12647,537197,77
12647,537198,10
12647,537594,150
12647,539403,81
12647,546925,222
12647,549434,84
12647,554363,119
12647,559316,142
12647,562527,132
12647,566267,193
12647,567914,63
12647,577027,127
12647,C539031,12
12648,559421,159
12649,538649,3
12649,552844,202
12649,564337,375
12649,564338,6
12649,575649,84
12649,C538084,12
12650,580986,250
12651,540521,75
12652,540976,498
12652,554652,32
12652,C541825,3
12653,544108,286
12653,548653,4
12653,559948,633
12654,544302,76
12654,554711,39
12654,554713,34
12654,574071,63
12654,579276,48
12656,550661,196
12656,553997,464
12656,563288,603
12656,568645,265
12656,578033,171
12656,C549582,3
12656,C563109,10
12656,C574946,2
12657,567793,255
12657,573316,5
12657,579190,386
12657,579193,386
12657,C579192,386
12658,577615,311
12659,575581,104
12660,579153,126
12662,536527,156
12662,543121,182
12662,545988,168
12662,550178,226
12662,555553,288
12662,560566,192
12662,564328,176
12662,571556,295
12662,576890,221
12662,576891,42
12662,581570,95
12662,C543445,18
12663,548663,117
12663,552663,68
12664,541756,162
12664,550924,152
12664,560549,186
12664,566598,72
12664,569522,72
12664,570769,72
12664,574332,184
12664,578300,72
12664,580123,216
12665,541517,36
12665,C540850,1
12666,552666,67
12666,C539037,56
12667,570875,391
12668,539466,333
12668,542713,468
12668,547822,506
12668,579094,292
12668,C548915,24
12668,C580313,15
12669,547892,842
12669,559704,262
12670,550827,275
12670,554356,208
12670,565239,270
12670,567670,624
12670,575671,330
12670,579492,300
12670,C576908,6
12671,552671,78
12671,567671,596
12672,541121,78
12673,541277,171
12673,567673,366
12673,580512,178
12674,553208,220
12674,557669,270
12674,566115,292
12674,573867,344
12674,C558575,24
12674,C574095,6
12674,C579127,1
12675,552675,90
12676,542911,249
12676,547645,106
12676,555403,53
12676,562600,82
12676,569018,108
12676,576519,66
12678,539727,24
12678,545086,213
12678,548496,2271
12678,552678,97
12678,555531,1184
12678,559889,666
12678,564897,820
12678,567756,484
12678,573153,5202
12678,573273,36
12678,C557142,24
12679,545301,329
12679,553666,72
12679,566492,72
12679,570798,72
12679,C545997,15
12679,C569981,4
12679,C571473,3
12679,C571678,1
12679,C571680,1
12680,563712,228
12680,566256,42
12680,568518,64
12680,581587,105
12681,537463,581
12681,539607,599
12681,540178,359
12681,540642,628
12681,541567,383
12681,542735,202
12681,546428,183
12681,546678,314
12681,547327,198
12681,550313,375
12681,553161,267
12681,554650,374
12681,555547,347
12681,559418,322
12681,559607,236
12681,568040,475
12681,572986,297
12681,572992,48
12681,575193,341
12681,576894,108
12681,577121,510
12681,578736,310
12681,C542089,5
12681,C551333,2
12681,C554029,3
12681,C568557,5
12682,536974,121
12682,538093,327
12682,540239,360
12682,542904,182
12682,542922,144
12682,546479,184
12682,548737,293
12682,553044,202
12682,553316,58
12682,554109,62
12682,555096,200
12682,556819,170
12682,556820,136
12682,558813,256
12682,559699,76
12682,559819,116
12682,560452,32
12682,563189,178
12682,564479,198
12682,564906,120
12682,566873,164
12682,567296,171
12682,570267,60
12682,570409,158
12682,573891,415
12682,575519,183
12682,575584,100
12682,577295,148
12682,578835,68
12682,579708,236
12682,580753,300
12683,537897,106
12683,538008,552
12683,541405,263
12683,545235,245
12683,547504,713
12683,547508,242
12683,551544,350
12683,551545,6
12683,552946,105
12683,555937,464
12683,564670,688
12683,565931,209
12683,572087,524
12683,580705,467
12683,C540156,1
12683,C541688,4
12683,C552335,2
12683,C565615,55
12683,C574261,22
12684,552631,458
12684,554840,424
12684,557734,384
12684,570020,184
12684,576399,439
12684,580144,84
12685,565801,265
12685,565930,644
12685,568176,111
12685,570879,122
12685,571923,165
12685,575884,200
12686,536852,106
12688,563613,3028
12689,562275,279
12689,576087,343
12690,553566,103
12690,570690,541
12691,539435,64
12691,541981,84
12691,560272,46
12691,570823,98
12691,575916,96
12692,548692,2
12692,559692,23
12693,541962,45
12693,547071,87
12693,552871,83
12693,562435,32
12693,C547594,4
12693,C562943,1
12694,556258,320
12694,569122,183
12695,541695,1252
12695,553143,33
12695,564314,139
12695,569531,34
12695,580285,14
12697,557939,160
12697,561890,195
12697,575736,148
12697,C563586,6
12697,C577363,3
12700,552315,773
12700,559134,592
12700,569568,885
12700,580160,694
12701,549680,244
12701,567578,430
12702,552702,492
12702,577406,52
12703,569001,163
12703,C569973,3
12704,557803,156
12704,562274,143
12704,564558,158
12704,567938,136
12704,574442,134
12704,577067,168
12704,577069,13
12704,580281,80
12705,539446,388
12705,549316,757
12705,554104,578
12705,558881,863
12705,568056,456
12705,573289,457
12705,578024,341
12705,578509,130
12705,C551018,16
12705,C556957,2
12705,C560474,2
12705,C567187,1
12705,C569485,3
12707,544470,256
12708,537250,88
12708,541122,164
12708,545709,190
12708,550946,145
12708,554137,161
12708,556509,99
12708,564749,131
12708,568674,163
12708,574869,139
12708,575498,12
12708,C546320,7
12708,C551588,8
12708,C555273,8
12708,C557405,8
12708,C565227,1
12708,C570283,5
12709,537673,132
12709,539401,133
12709,542106,314
12709,545295,384
12709,548320,172
12709,550002,40
12709,552211,224
12709,555282,653
12709,560038,300
12709,561468,222
12709,565440,266
12709,568987,321
12709,570792,328
12709,573136,108
12709,578626,322
12709,580709,2
12709,C542346,18
12709,C543469,12
12709,C552406,8
12709,C558727,7
12709,C561703,5
12709,C563107,15
12709,C565597,5
12709,C567147,26
12709,C571066,5
12709,C573187,1
12709,C580989,1
12710,554106,382
12710,558717,60
12710,565416,402
12710,C555346,2
12712,536983,59
12712,537995,82
12712,540900,95
12712,542782,59
12712,545706,90
12712,546759,48
12712,552656,136
12712,554324,30
12712,556443,70
12712,560202,91
12712,564367,106
12712,572241,62
12712,575732,42
12712,C537814,3
12712,C543175,6
12712,C546507,7
12712,C576903,1
12713,581578,505
12714,544355,748
12714,553411,476
12714,556529,232
12714,564372,784
12714,571714,314
12714,579792,803
12715,564539,195
12715,580715,5
12716,551716,1
12716,561795,500
12716,571716,667
12716,580736,203
12717,549325,260
12717,559680,242
12717,563717,8
12718,553718,419
12718,568988,201
12719,569686,160
12719,580509,210
12719,C570515,13
12720,537212,295
12720,539408,221
12720,542626,180
12720,543492,159
12720,547379,484
12720,548720,1
12720,549614,218
12720,551728,110
12720,551729,10
12720,554794,184
12720,555093,32
12720,557850,143
12720,559797,252
12720,559798,192
12720,562137,187
12720,562568,60
12720,565759,324
12720,565760,10
12720,567512,104
12720,569562,395
12720,571565,82
12720,573424,154
12720,576657,259
12720,578547,358
12720,578550,59
12720,581000,163
12720,C552722,7
12720,C568386,5
12720,C571928,5
12721,539551,128
12721,543484,298
12721,549274,236
12721,556259,460
12721,567618,416
12721,575049,406
12721,C537893,5
12722,559782,156
12722,563202,3
12722,563502,400
12722,566918,6
12722,C560898,3
12722,C561621,3
12723,569699,188
12723,569701,2
12723,578277,212
12723,578287,7
12723,580756,24
12724,540835,114
12724,557295,62
12724,567300,189
12724,580534,74
12725,537022,162
12726,539407,332
12726,542433,406
12726,547087,422
12726,552464,332
12726,555941,444
12726,566736,436
12726,575880,760
12727,541857,120
12727,544115,772
12727,545515,314
12727,545517,24
12727,555569,358
12727,565587,142
12727,579345,338
12727,C546559,12
12728,540824,120
12728,545180,72
12728,547863,59
12728,568953,162
12729,563662,231
12731,538196,410
12731,542629,1617
12731,548409,946
12731,548410,132
12731,548606,240
12731,552851,734
12731,557247,514
12731,560398,838
12731,566816,1060
12731,569097,710
12731,571864,566
12731,576672,662
12731,C550365,60
12731,C570291,10
12732,543732,134
12732,556526,110
12733,539733,35
12733,550644,137
12734,539829,88
12735,540351,261
12735,542535,102
12736,540688,168
12738,536840,147
